,date,week_number,infection_day,hospital_day,dead_day,infection_week,hospital_week,dead_week,IC_current,ZKH_current
0,2020-02-27,2020W09,0,1,0,5,2,0,13,62
1,2020-02-28,2020W09,1,0,0,5,2,0,14,66
2,2020-02-29,2020W09,1,1,0,5,2,0,15,66
3,2020-03-01,2020W09,3,0,0,5,2,0,17,73
4,2020-03-02,2020W10,5,0,0,158,28,2,16,84
5,2020-03-03,2020W10,4,1,0,158,28,2,18,91
6,2020-03-04,2020W10,10,1,0,158,28,2,21,103
7,2020-03-05,2020W10,17,3,0,158,28,2,21,112
8,2020-03-06,2020W10,40,5,0,158,28,2,24,130
9,2020-03-07,2020W10,50,7,1,158,28,2,26,138
10,2020-03-08,2020W10,32,11,1,158,28,2,32,156
11,2020-03-09,2020W11,61,5,1,946,128,15,38,182
12,2020-03-10,2020W11,130,9,0,946,128,15,46,206
13,2020-03-11,2020W11,123,17,1,946,128,15,54,241
14,2020-03-12,2020W11,127,22,0,946,128,15,74,284
15,2020-03-13,2020W11,113,23,2,946,128,15,85,352
16,2020-03-14,2020W11,219,28,4,946,128,15,103,392
17,2020-03-15,2020W11,173,24,7,946,128,15,127,440
18,2020-03-16,2020W12,270,40,4,3076,811,161,157,573
19,2020-03-17,2020W12,288,105,17,3076,811,161,185,657
20,2020-03-18,2020W12,347,91,15,3076,811,161,236,785
21,2020-03-19,2020W12,396,73,23,3076,811,161,296,993
22,2020-03-20,2020W12,533,141,28,3076,811,161,367,1167
23,2020-03-21,2020W12,637,200,30,3076,811,161,438,1246
24,2020-03-22,2020W12,605,161,44,3076,811,161,488,1351
25,2020-03-23,2020W13,553,229,32,6557,2427,574,578,1675
26,2020-03-24,2020W13,749,245,62,6557,2427,574,659,1927
27,2020-03-25,2020W13,843,325,76,6557,2427,574,759,2145
28,2020-03-26,2020W13,1007,317,71,6557,2427,574,846,2341
29,2020-03-27,2020W13,1167,339,122,6557,2427,574,930,2602
30,2020-03-28,2020W13,1146,462,89,6557,2427,574,994,2541
31,2020-03-29,2020W13,1092,510,122,6557,2427,574,1041,2493
32,2020-03-30,2020W14,874,489,84,6922,3378,975,1124,2639
33,2020-03-31,2020W14,836,695,168,6922,3378,975,1191,2566
34,2020-04-01,2020W14,1008,495,133,6922,3378,975,1208,2469
35,2020-04-02,2020W14,1083,602,155,6922,3378,975,1252,2446
36,2020-04-03,2020W14,1020,501,145,6922,3378,975,1279,2452
37,2020-04-04,2020W14,1002,363,187,6922,3378,975,1286,2241
38,2020-04-05,2020W14,1099,233,103,6922,3378,975,1312,2192
39,2020-04-06,2020W15,945,258,91,7693,1725,979,1319,2312
40,2020-04-07,2020W15,782,285,231,7693,1725,979,1320,2171
41,2020-04-08,2020W15,959,313,157,7693,1725,979,1289,2032
42,2020-04-09,2020W15,1208,250,143,7693,1725,979,1284,1857
43,2020-04-10,2020W15,1327,211,119,7693,1725,979,1292,1769
44,2020-04-11,2020W15,1301,214,142,7693,1725,979,1258,1581
45,2020-04-12,2020W15,1171,194,96,7693,1725,979,1240,1525
46,2020-04-13,2020W16,959,129,74,7065,1106,941,1223,1517
47,2020-04-14,2020W16,862,206,107,7065,1106,941,1201,1529
48,2020-04-15,2020W16,730,208,202,7065,1106,941,1176,1441
49,2020-04-16,2020W16,1071,169,177,7065,1106,941,1143,1332
50,2020-04-17,2020W16,1234,155,153,7065,1106,941,1112,1289
51,2020-04-18,2020W16,1186,138,149,7065,1106,941,1067,1146
52,2020-04-19,2020W16,1023,101,79,7065,1106,941,1038,1121
53,2020-04-20,2020W17,748,79,59,5151,764,791,1018,1163
54,2020-04-21,2020W17,716,117,163,5151,764,791,982,1115
55,2020-04-22,2020W17,708,129,134,5151,764,791,925,1032
56,2020-04-23,2020W17,876,132,133,5151,764,791,884,990
57,2020-04-24,2020W17,805,126,111,5151,764,791,867,935
58,2020-04-25,2020W17,647,101,127,5151,764,791,836,810
59,2020-04-26,2020W17,651,80,64,5151,764,791,810,781
60,2020-04-27,2020W18,405,61,44,2746,541,587,788,767
61,2020-04-28,2020W18,193,90,47,2746,541,587,767,784
62,2020-04-29,2020W18,388,80,141,2746,541,587,739,724
63,2020-04-30,2020W18,507,91,85,2746,541,587,715,699
64,2020-05-01,2020W18,478,78,101,2746,541,587,680,646
65,2020-05-02,2020W18,437,99,87,2746,541,587,642,563
66,2020-05-03,2020W18,338,42,82,2746,541,587,628,546
67,2020-05-04,2020W19,201,32,15,2050,332,388,619,595
68,2020-05-05,2020W19,319,84,90,2050,332,388,577,526
69,2020-05-06,2020W19,319,25,33,2050,332,388,550,541
70,2020-05-07,2020W19,361,35,89,2050,332,388,528,517
71,2020-05-08,2020W19,320,70,76,2050,332,388,497,513
72,2020-05-09,2020W19,288,60,66,2050,332,388,475,465
73,2020-05-10,2020W19,242,26,19,2050,332,388,457,448
74,2020-05-11,2020W20,179,29,7,1392,256,239,451,479
75,2020-05-12,2020W20,195,41,56,1392,256,239,409,449
76,2020-05-13,2020W20,223,60,52,1392,256,239,392,425
77,2020-05-14,2020W20,274,29,30,1392,256,239,366,390
78,2020-05-15,2020W20,202,37,50,1392,256,239,351,370
79,2020-05-16,2020W20,194,49,34,1392,256,239,335,325
80,2020-05-17,2020W20,125,11,10,1392,256,239,328,339
81,2020-05-18,2020W21,148,30,13,1234,125,143,323,371
82,2020-05-19,2020W21,111,33,24,1234,125,143,290,348
83,2020-05-20,2020W21,187,14,33,1234,125,143,280,335
84,2020-05-21,2020W21,254,13,29,1234,125,143,259,299
85,2020-05-22,2020W21,184,10,10,1234,125,143,248,330
86,2020-05-23,2020W21,177,13,23,1234,125,143,233,292
87,2020-05-24,2020W21,173,12,11,1234,125,143,232,284
88,2020-05-25,2020W22,213,10,9,1210,65,128,222,319
89,2020-05-26,2020W22,129,7,20,1210,65,128,199,312
90,2020-05-27,2020W22,194,10,19,1210,65,128,185,281
91,2020-05-28,2020W22,179,16,27,1210,65,128,177,262
92,2020-05-29,2020W22,178,10,29,1210,65,128,167,265
93,2020-05-30,2020W22,141,5,20,1210,65,128,158,248
94,2020-05-31,2020W22,176,7,4,1210,65,128,160,243
95,2020-06-01,2020W23,105,8,5,1127,54,60,158,247
96,2020-06-02,2020W23,95,6,4,1127,54,60,153,269
97,2020-06-03,2020W23,93,11,13,1127,54,60,140,261
98,2020-06-04,2020W23,188,10,12,1127,54,60,138,246
99,2020-06-05,2020W23,217,10,15,1127,54,60,135,228
100,2020-06-06,2020W23,190,6,8,1127,54,60,133,194
101,2020-06-07,2020W23,239,3,3,1127,54,60,132,193
102,2020-06-08,2020W24,166,7,3,1205,44,48,131,193
103,2020-06-09,2020W24,164,6,13,1205,44,48,123,173
104,2020-06-10,2020W24,181,4,14,1205,44,48,119,157
105,2020-06-11,2020W24,162,3,4,1205,44,48,115,162
106,2020-06-12,2020W24,207,5,7,1205,44,48,112,153
107,2020-06-13,2020W24,181,11,6,1205,44,48,110,134
108,2020-06-14,2020W24,144,8,1,1205,44,48,109,133
109,2020-06-15,2020W25,159,2,7,824,26,32,108,136
110,2020-06-16,2020W25,134,2,4,824,26,32,99,136
111,2020-06-17,2020W25,113,5,5,824,26,32,90,128
112,2020-06-18,2020W25,125,3,3,824,26,32,83,129
113,2020-06-19,2020W25,108,9,4,824,26,32,77,125
114,2020-06-20,2020W25,90,2,8,824,26,32,76,106
115,2020-06-21,2020W25,95,3,1,824,26,32,72,107
116,2020-06-22,2020W26,68,1,0,564,25,16,74,110
117,2020-06-23,2020W26,70,4,5,564,25,16,67,111
118,2020-06-24,2020W26,80,5,3,564,25,16,63,110
119,2020-06-25,2020W26,110,4,3,564,25,16,62,118
120,2020-06-26,2020W26,93,5,2,564,25,16,56,114
121,2020-06-27,2020W26,77,3,3,564,25,16,51,93
122,2020-06-28,2020W26,66,3,0,564,25,16,47,95
123,2020-06-29,2020W27,76,3,2,483,12,22,47,104
124,2020-06-30,2020W27,57,2,5,483,12,22,47,89
125,2020-07-01,2020W27,62,2,3,483,12,22,43,87
126,2020-07-02,2020W27,75,0,3,483,12,22,45,80
127,2020-07-03,2020W27,76,4,1,483,12,22,42,80
128,2020-07-04,2020W27,65,1,7,483,12,22,43,71
129,2020-07-05,2020W27,72,0,1,483,12,22,41,75
130,2020-07-06,2020W28,41,0,0,436,16,15,41,79
131,2020-07-07,2020W28,34,1,4,436,16,15,39,82
132,2020-07-08,2020W28,57,6,4,436,16,15,36,80
133,2020-07-09,2020W28,60,0,2,436,16,15,36,80
134,2020-07-10,2020W28,65,3,0,436,16,15,37,90
135,2020-07-11,2020W28,84,4,5,436,16,15,35,82
136,2020-07-12,2020W28,95,2,0,436,16,15,36,82
137,2020-07-13,2020W29,72,1,0,797,22,17,35,88
138,2020-07-14,2020W29,98,8,10,797,22,17,32,89
139,2020-07-15,2020W29,109,4,2,797,22,17,32,82
140,2020-07-16,2020W29,119,2,2,797,22,17,31,78
141,2020-07-17,2020W29,109,1,2,797,22,17,31,76
142,2020-07-18,2020W29,145,3,1,797,22,17,30,83
143,2020-07-19,2020W29,145,3,0,797,22,17,31,87
144,2020-07-20,2020W30,183,2,0,1238,15,5,31,90
145,2020-07-21,2020W30,169,1,1,1238,15,5,33,91
146,2020-07-22,2020W30,170,1,2,1238,15,5,33,80
147,2020-07-23,2020W30,164,2,1,1238,15,5,30,85
148,2020-07-24,2020W30,155,4,0,1238,15,5,28,83
149,2020-07-25,2020W30,184,3,1,1238,15,5,25,86
150,2020-07-26,2020W30,213,2,0,1238,15,5,26,88
151,2020-07-27,2020W31,209,3,1,2155,33,9,29,96
152,2020-07-28,2020W31,224,4,4,2155,33,9,29,99
153,2020-07-29,2020W31,248,6,2,2155,33,9,28,90
154,2020-07-30,2020W31,341,3,0,2155,33,9,30,94
155,2020-07-31,2020W31,341,8,0,2155,33,9,33,98
156,2020-08-01,2020W31,431,4,1,2155,33,9,34,100
157,2020-08-02,2020W31,361,5,1,2155,33,9,35,108
158,2020-08-03,2020W32,372,7,0,3470,39,9,38,118
159,2020-08-04,2020W32,487,8,2,3470,39,9,40,111
160,2020-08-05,2020W32,428,5,3,3470,39,9,39,107
161,2020-08-06,2020W32,605,3,0,3470,39,9,41,107
162,2020-08-07,2020W32,517,4,1,3470,39,9,41,113
163,2020-08-08,2020W32,484,3,3,3470,39,9,42,118
164,2020-08-09,2020W32,577,9,0,3470,39,9,47,130
165,2020-08-10,2020W33,787,6,0,4416,55,15,46,140
166,2020-08-11,2020W33,620,8,2,4416,55,15,49,161
167,2020-08-12,2020W33,651,10,2,4416,55,15,49,166
168,2020-08-13,2020W33,576,6,4,4416,55,15,46,164
169,2020-08-14,2020W33,627,12,2,4416,55,15,51,161
170,2020-08-15,2020W33,656,7,2,4416,55,15,49,157
171,2020-08-16,2020W33,499,6,3,4416,55,15,50,165
172,2020-08-17,2020W34,487,5,0,3560,73,24,59,182
173,2020-08-18,2020W34,493,4,3,3560,73,24,54,177
174,2020-08-19,2020W34,553,18,6,3560,73,24,53,179
175,2020-08-20,2020W34,532,10,9,3560,73,24,55,190
176,2020-08-21,2020W34,533,18,1,3560,73,24,58,184
177,2020-08-22,2020W34,507,11,5,3560,73,24,54,164
178,2020-08-23,2020W34,455,7,0,3560,73,24,56,165
179,2020-08-24,2020W35,573,5,2,3579,61,25,56,169
180,2020-08-25,2020W35,416,15,5,3579,61,25,51,176
181,2020-08-26,2020W35,572,20,8,3579,61,25,49,166
182,2020-08-27,2020W35,508,7,3,3579,61,25,49,150
183,2020-08-28,2020W35,501,9,3,3579,61,25,47,152
184,2020-08-29,2020W35,503,2,4,3579,61,25,47,135
185,2020-08-30,2020W35,506,3,0,3579,61,25,52,136
186,2020-08-31,2020W36,526,10,0,4624,43,22,51,148
187,2020-09-01,2020W36,467,5,6,4624,43,22,47,147
188,2020-09-02,2020W36,720,6,5,4624,43,22,45,154
189,2020-09-03,2020W36,599,5,2,4624,43,22,47,148
190,2020-09-04,2020W36,743,7,2,4624,43,22,51,156
